mlp_type,training_size,predictors,nodes,activation,dropout,optimizer,learning_rate,epochs,MSE,R^2,observed_total_runoff,predicted_total_runoff,proportion_runoff_predicted
N21_random_year,21,x_t2m_ts,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,11.749440362330777,0.814652436639265,1113.4932410554404,864.0654,0.7759952174190867
N1_random_year,1,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,12.398071645015568,0.8044202703353607,1113.4932410554404,860.4763,0.7727719276892604
N2_random_year,2,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,14.274759429514202,0.7748154979105508,1113.4932410554404,868.52905,0.7800038839132309
N3_random_year,3,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,11.596737815088344,0.8170613211629145,1113.4932410554404,1243.7838,1.117010654054464
N4_random_year,4,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,14.332743054865174,0.7739008055216197,1113.4932410554404,859.211,0.7716355760909163
N5_random_year,5,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,10.760672193559289,0.8302502664216953,1113.4932410554404,905.3681,0.8130880993666183
N6_random_year,6,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,8.685896763758798,0.8629798738391805,1113.4932410554404,994.05554,0.8927360358738754
N7_random_year,7,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,12.025189582704531,0.810302489363584,1113.4932410554404,887.05164,0.7966385452877854
N8_random_year,8,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,12.616162526357943,0.8009798840529978,1113.4932410554404,1400.616,1.25785762782833
N9_random_year,9,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,9.320197408343793,0.852973773524063,1113.4932410554404,1048.2002,0.9413619738894405
