mlp_type,training_size,predictors,nodes,activation,dropout,optimizer,learning_rate,epochs,MSE,R^2,observed_total_runoff,predicted_total_runoff,proportion_runoff_predicted
N12_random_year,12,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,3.9872299390683783,0.9032637745146643,769.0741534394226,817.0611,1.0623957293810724
N13_random_year,13,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,4.208472336250689,0.8978960995253095,769.0741534394226,816.0119,1.061031498986324
N14_random_year,14,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,4.3819432569410015,0.8936874327678141,769.0741534394226,839.03735,1.0909706817779738
N15_random_year,15,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,4.196920448814561,0.8981763657765364,769.0741534394226,768.42224,0.9991523415192545
N16_random_year,16,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,4.050392827660828,0.9017313473593315,769.0741534394226,804.8496,1.0465175637168196
N17_random_year,17,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,3.607957471077847,0.9124654979027277,769.0741534394226,899.96216,1.17018905677476
N18_random_year,18,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,3.904052657789577,0.905281781090659,769.0741534394226,783.437,1.0186755181084872
N19_random_year,19,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,3.6775502328156997,0.9107770723053834,769.0741534394226,873.0402,1.1351834127614264
N20_random_year,20,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,3.6582619620650068,0.9112450349102683,769.0741534394226,824.50757,1.0720781145381695
N21_random_year,21,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,4.930410039884152,0.880380799542041,769.0741534394226,758.3619,0.9860712052926114
N1_random_year,1,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,25.987678023091195,0.3694996477505782,769.0741534394226,1391.3398,1.8091101326545764
N2_random_year,2,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,16.478956098683128,0.6001956151799901,769.0741534394226,1115.2373,1.4501037379815462
N3_random_year,3,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,17.80319241049789,0.5680676405175823,769.0741534394226,1256.0084,1.6331434585787235
N4_random_year,4,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,14.558993689756234,0.6467768054678811,769.0741534394226,1137.1245,1.4785629014228958
N5_random_year,5,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,13.98916490559888,0.6606017131342696,769.0741534394226,907.96497,1.180594825297077
N6_random_year,6,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,14.66928594010223,0.6441009487548749,769.0741534394226,1189.9895,1.5473013839189649
N7_random_year,7,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,12.134727880620947,0.7055931585582913,769.0741534394226,1098.6315,1.4285117563934595
N8_random_year,8,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,12.91696959432327,0.686614792134201,769.0741534394226,1026.4253,1.334624611135886
N9_random_year,9,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,11.395518746713389,0.7235274895477926,769.0741534394226,996.47797,1.2956851583845133
N10_random_year,10,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,9.443222209857256,0.7708931546560562,769.0741534394226,878.83386,1.1427166787160925
N11_random_year,11,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,10.57425790964192,0.7434525188867787,769.0741534394226,814.57605,1.059164511200608
N12_random_year,12,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,8.24086034201551,0.8000642710802283,769.0741534394226,938.66235,1.2205095559612513
N13_random_year,13,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,10.245542794745463,0.7514276444654384,769.0741534394226,1013.7986,1.3182065467296042
N14_random_year,14,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,12.819732670753286,0.6889739068849705,769.0741534394226,1066.3818,1.3865786948741807
N15_random_year,15,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,11.706176713953441,0.7159904576667642,769.0741534394226,1094.5199,1.4231656239727593
N16_random_year,16,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,9.793735168784298,0.7623891804312285,769.0741534394226,962.12695,1.2510197473445368
N17_random_year,17,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,12.680817444850272,0.6923442002519591,769.0741534394226,1044.9039,1.3586517320743194
N18_random_year,18,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,9.886678994355103,0.7601342227274379,769.0741534394226,945.59406,1.229522603180634
N19_random_year,19,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,10.3241391912442,0.7495207770787501,769.0741534394226,975.37054,1.2682399220823906
N20_random_year,20,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,11.073468306079716,0.7313409200544039,769.0741534394226,1064.156,1.3836845265184106
N21_random_year,21,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,10.773668342861884,0.7386145203447128,769.0741534394226,1066.8871,1.3872356523615412
N1_random_year,1,x_t2m_ts_al2_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,8.543378621108214,0.7927247203377434,769.0741534394226,693.3103,0.901486936771676
N2_random_year,2,x_t2m_ts_al2_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,6.696202113663158,0.8375400146312977,769.0741534394226,631.4193,0.8210122635114304
N3_random_year,3,x_t2m_ts_al2_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,5.558255612290113,0.8651483168935926,769.0741534394226,602.5909,0.7835276724003446
N4_random_year,4,x_t2m_ts_al2_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,4.832714033636249,0.8827510523325339,769.0741534394226,864.72565,1.1243722638518858
N5_random_year,5,x_t2m_ts_al2_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,4.607093477170075,0.8882249480842141,769.0741534394226,801.13074,1.0416820455113498
N6_random_year,6,x_t2m_ts_al2_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,4.60281012529111,0.8883288686755842,769.0741534394226,742.90643,0.9659750360652122
N7_random_year,7,x_t2m_ts_al2_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,4.939407547778773,0.8801625063997338,769.0741534394226,721.5721,0.9382347323629919
N8_random_year,8,x_t2m_ts_al2_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,5.652827586467254,0.8628538578434756,769.0741534394226,732.4087,0.9523251927409095
N9_random_year,9,x_t2m_ts_al2_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,8.978528762737573,0.7821673201215751,769.0741534394226,573.4684,0.7456607158417952
N10_random_year,10,x_t2m_ts_al2_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,4.365262862760166,0.8940921243450044,769.0741534394226,816.52655,1.0617006782003158
N11_random_year,11,x_t2m_ts_al2_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,5.238207081860424,0.8729131780325343,769.0741534394226,697.7002,0.9071949592796392
N12_random_year,12,x_t2m_ts_al2_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,2.887576048894845,0.9299430401455069,769.0741534394226,810.0808,1.0533195101201414
