Prediction Site,Model,Training Site,In-situ Cumulative Runoff,MAR Cumulative Runoff,Model Predicted Cumulative Runoff,MSE,normalized MSE,R^2,NSE,Error Rate
2020 Minturn,2019-2022 Minturn TL Model,2019-2022 Minturn,335.27216999112864,369.8232878505649,327.61777,2.1873063573754625,0.7372088723915474,0.7738123108204508,0.7738123108204508,0.022830414637000133
2020 Minturn,2019-2022 North TL Model,2019-2022 North,335.27216999112864,369.8232878505649,47.627296,14.53709278699932,4.899576021995467,-0.5032697243313724,-0.5032697243313724,0.8579443785954136
2021 Minturn,Minturn MAR Emulator,Minturn,310.2393445037601,286.9122555145159,269.0459,1.412223293203814,0.6645984929395629,0.8142404747675764,0.8142404747675764,0.1327795677629174
2021 Minturn,2015-2016 Rio Behar TL Model,2015-2016 Rio Behar,310.2393445037601,286.9122555145159,626.2504,7.089173919779715,3.3361964258382257,0.06751178233235322,0.06751178233235322,1.018604146575302
2021 Minturn,2008-2016 AK4 TL Model,2008-2016 AK4,310.2393445037601,286.9122555145159,837.8029,28.126456123380436,13.23643395579626,-2.6996678649144035,-2.6996678649144035,1.7005050530279038
2021 Minturn,2019-2022 Minturn TL Model,2019-2022 Minturn,310.2393445037601,286.9122555145159,291.56708,4.171656177636882,1.9631997447300011,0.4512731274721329,0.4512731274721329,0.060186650074665296
2021 Minturn,2019-2022 North TL Model,2019-2022 North,310.2393445037601,286.9122555145159,64.124695,9.433321110301721,4.439362403588881,-0.24083015713418598,-0.24083015713418598,0.7933057300427555
2022 Minturn,Minturn MAR Emulator,Minturn,292.31803694309644,326.43166492089347,254.80629,1.3802774189738118,0.46273979010664035,0.8541908870670885,0.8541908870670885,0.1283251203467374
2022 Minturn,2015-2016 Rio Behar TL Model,2015-2016 Rio Behar,292.31803694309644,326.43166492089347,596.2705,13.504594466895554,4.5274327632864875,-0.42659215652509763,-0.42659215652509763,1.0398006022754316
2022 Minturn,2008-2016 AK4 TL Model,2008-2016 AK4,292.31803694309644,326.43166492089347,758.974,45.66308190764821,15.308607274961414,-3.82373570357119,-3.82373570357119,1.5963981113186723
2022 Minturn,2019-2022 Minturn TL Model,2019-2022 Minturn,292.31803694309644,326.43166492089347,267.59424,3.8415503096771966,1.2878847103836106,0.5941880702811012,0.5941880702811012,0.08457842328306021
2022 Minturn,2019-2022 North TL Model,2019-2022 North,292.31803694309644,326.43166492089347,59.74179,14.293012236260408,4.791750840288339,-0.5098786712440746,-0.5098786712440746,0.7956274221179382
2019 North,North MAR Emulator,North,305.6881410857245,976.3371135145892,1112.5443,181.9195824895732,45.82385107235451,-7.684484641512901,-7.684484641512901,2.6394748830359283
2019 North,2015-2016 Rio Behar TL Model,2015-2016 Rio Behar,305.6881410857245,976.3371135145892,1095.1246,118.78786872166373,29.92155946606739,-4.670700247844217,-4.670700247844217,2.5824897554071464
2019 North,2008-2016 AK4 TL Model,2008-2016 AK4,305.6881410857245,976.3371135145892,1780.0355,560.8284101952221,141.26746111790447,-25.77285011438314,-25.77285011438314,4.823044087149459
2019 North,2019-2022 Minturn TL Model,2019-2022 Minturn,305.6881410857245,976.3371135145892,366.3944,7.433049879255685,1.8723161411164595,0.6451607538199184,0.6451607538199184,0.19858888826485113
2019 North,2019-2022 North TL Model,2019-2022 North,305.6881410857245,976.3371135145892,158.65239,15.40856689534516,3.8812747093412976,0.26442518876152954,0.26442518876152954,0.4809992008100959
2020 North,North MAR Emulator,North,174.1308892194796,1129.0989428009675,1135.2412,158.04433939911542,97.11513213712796,-22.787949957454508,-22.787949957454508,5.519470589199193
