t2m,ts,al2,swd,date,dailyQ,time,runoff
1.6557949,0.3842702,0.5896041,79.725914,2020-08-23,92019.4566048,2020-08-23,0.41564996214681177
0.70529807,-0.101010494,0.68875974,106.132675,2020-08-24,39916.0354464,2020-08-24,0.18029989780967165
0.9346449,-0.0681746,0.64994943,39.745018,2020-08-25,21333.2279904,2020-08-25,0.09636174493793444
1.3333683,0.11440536,0.5886928,35.794758,2020-08-26,194232.79008,2020-08-26,0.8773454530507451
0.87090766,-0.1746565,0.6186347,48.172504,2020-08-27,85568.51266559999,2020-08-27,0.38651118320731714
2.2637227,-0.1794935,0.5802229,123.31874,2020-08-28,152183.6171712,2020-08-28,0.687410217909009
2.6101964,-2.8271325,0.5851898,159.52727,2020-08-29,97551.4536,2020-08-29,0.44063787694755197
0.46120542,-2.9554904,0.586419,157.47012,2020-08-30,44143.8348096,2020-08-30,0.19939677916624696
-0.53684413,-3.535349,0.5837499,103.73345,2020-08-31,22591.861372800002,2020-08-31,0.1020469656190136
-1.7141238,-3.1104121,0.5819808,105.13004,2020-09-01,18477.2256192,2020-09-01,0.08346124192172165
-3.1389139,-5.17363,0.5852133,137.24443,2020-09-02,9646.3062432,2020-09-02,0.04357216367906141
-3.0329874,-4.8685074,0.58285075,136.74162,2020-09-03,7243.1939232,2020-09-03,0.03271735555807503
-3.735029,-6.9644656,0.5845686,138.27676,2020-09-04,4443.0012,2020-09-04,0.020068943555377486
-4.0239625,-7.915599,0.5850162,137.44202,2020-09-05,3130.8412896,2020-09-05,0.014141944666102647
-3.0915096,-8.119206,0.58366936,130.53337,2020-09-06,2998.4624063999995,2020-09-06,0.013543992017594535
-4.5420947,-8.203841,0.5891305,113.15666,2020-09-07,2550.0230784,2020-09-07,0.011518400946036103
-4.5648913,-6.319969,0.6083227,87.3961,2020-09-08,2380.0198464,2020-09-08,0.01075049990040061
-4.735946,-7.1262975,0.60620296,112.83275,2020-09-09,2331.8425152,2020-09-09,0.01053288390234472
-4.441154,-6.87602,0.6165251,52.731995,2020-09-10,2194.6782816,2020-09-10,0.009913315926100414
-2.2149618,-2.9029307,0.6704115,56.040405,2020-09-11,2287.062864,2020-09-11,0.010330615153832498
-3.5264742,-4.700029,0.67884916,73.19318,2020-09-12,2351.9992032,2020-09-12,0.01062393124073737
-5.833238,-6.747883,0.6577993,70.765,2020-09-13,2752.3375776,2020-09-13,0.012432251310262711
-3.6420195,-4.451846,0.63349205,67.34657,2020-09-14,2720.3463359999996,2020-09-14,0.012287747540617804
-6.069616,-10.22447,0.63068056,98.38536,2020-09-15,2576.3857056,2020-09-15,0.011637480382082229
-8.126336,-12.289695,0.6316286,96.819145,2020-09-16,2829.840192,2020-09-16,0.01278232899959302
-6.844812,-9.969169,0.6279868,67.1883,2020-09-17,2299.889808,2020-09-17,0.010388554191779188
-7.0849013,-10.687998,0.63126916,85.46821,2020-09-18,2564.8650432,2020-09-18,0.011585441790819601
-7.986467,-11.169089,0.63387054,74.155235,2020-09-19,2909.153664,2020-09-19,0.013140586294853037
-6.856087,-9.305931,0.6341159,50.254875,2020-09-20,3562.8976224000003,2020-09-20,0.016093534090770505
-8.588188,-12.890814,0.6467418,61.66593,2020-09-21,3448.7509536,2020-09-21,0.015577935973628066
-9.905881,-12.425378,0.65092164,54.238323,2020-09-22,3562.8976224000003,2020-09-22,0.016093534090770505
-10.199771,-11.739966,0.6529274,40.78258,2020-09-23,3562.8976224000003,2020-09-23,0.016093534090770505
-7.543592,-9.264664,0.6469502,52.06942,2020-09-24,3562.8976224000003,2020-09-24,0.016093534090770505
-8.360573,-14.50589,0.65205747,62.432,2020-09-25,3562.8976224000003,2020-09-25,0.016093534090770505
-10.264376,-14.94235,0.6531492,57.85561,2020-09-26,3562.8976224000003,2020-09-26,0.016093534090770505
-11.0020075,-14.949897,0.6515259,53.942356,2020-09-27,3196.3689504,2020-09-27,0.014437931740315256
-11.651445,-15.762101,0.65580577,51.054638,2020-09-28,3106.3108608,2020-09-28,0.014031141231933776
-10.654317,-15.23383,0.6559494,38.26818,2020-09-29,3149.7922655999996,2020-09-29,0.014227545828592387
-12.486728,-16.085724,0.6647482,45.95788,2020-09-30,3277.5309504,2020-09-30,0.014804538797914421
-12.410536,-16.384615,0.6662906,43.94068,2020-10-01,3562.8976224000003,2020-10-01,0.016093534090770505
-9.506012,-10.309594,0.71715164,270.35983,2021-05-09,81334.5790752,2021-05-09,0.3673865936746935
-9.651716,-10.994548,0.71527183,283.86447,2021-05-10,82733.2873344,2021-05-10,0.37370452964651474
-9.961986,-10.516036,0.7148093,253.80249,2021-05-11,93033.9322272,2021-05-11,0.4202323273292141
-10.380101,-10.047277,0.71162117,165.7341,2021-05-12,92542.07888639999,2021-05-12,0.4180106360692525
-6.3040967,-6.6491537,0.70837414,168.54305,2021-05-13,118335.10968,2021-05-13,0.5345172170530416
-3.2047887,-4.1701064,0.7136637,185.69551,2021-05-14,109617.7441824,2021-05-14,0.4951410593056771
-2.3150032,-3.776505,0.7144737,228.0724,2021-05-15,117112.75729919999,2021-05-15,0.5289958768978652
-4.050755,-4.570894,0.71959275,231.8663,2021-05-16,89584.85632320002,2021-05-16,0.4046529235614213
-7.870368,-8.11297,0.72037643,240.86108,2021-05-17,96828.23756159999,2021-05-17,0.43737112521833943
-6.0078278,-6.4424767,0.71782696,178.47803,2021-05-18,96828.23756159999,2021-05-18,0.43737112521833943
-1.9917,-2.3853753,0.7265271,174.20906,2021-05-19,114583.847184,2021-05-19,0.5175728427653126
-1.9688787,-2.913406,0.7257382,220.67448,2021-05-20,104742.9276192,2021-05-20,0.4731216147802783
-2.7107265,-4.0297446,0.7223522,268.83862,2021-05-21,107188.4431584,2021-05-21,0.4841679573561037
-4.382385,-5.576828,0.72164714,259.9695,2021-05-22,97406.3808288,2021-05-22,0.43998258627226816
-3.1553898,-5.137267,0.7204846,295.65457,2021-05-23,86561.050896,2021-05-23,0.39099445764857815
-2.8242722,-6.0237265,0.7176217,348.12918,2021-05-24,99851.8964544,2021-05-24,0.4510289292383605
-1.5102026,-5.013146,0.7187748,354.04605,2021-05-25,104742.9276192,2021-05-25,0.4731216147802783
-0.35819736,-3.116358,0.70793724,341.42947,2021-05-26,111215.9065824,2021-05-26,0.5023599254626178
0.88461524,-2.5149796,0.6803563,225.60384,2021-05-27,101716.6611744,2021-05-27,0.45945203250237476
3.7896004,-0.17173518,0.6352058,235.65726,2021-05-28,93713.1335136,2021-05-28,0.42330026534361337
-0.6712278,-1.73309,0.6516784,344.74393,2021-05-29,89520.6969792,2021-05-29,0.4043631171455944
-2.6619008,-2.8270137,0.6533329,288.322,2021-05-30,83861.20287359999,2021-05-30,0.3787993005620477
-1.2544485,-2.2602193,0.658729,266.34775,2021-05-31,81308.3861376,2021-05-31,0.3672682807230238
-3.067532,-2.789211,0.66103953,261.75922,2021-06-01,69799.7431872,2021-06-01,0.3152839810630168
-5.4428835,-5.270345,0.68514496,344.3314,2021-06-02,43196.4309888,2021-06-02,0.19511737590977604
-5.1318436,-6.205951,0.68201214,363.95172,2021-06-03,62127.3145824,2021-06-03,0.28062778141976785
-0.7353868,-4.271804,0.6822082,330.95584,2021-06-04,96091.3867392,2021-06-04,0.43404278545478525
2.9692376,-2.0971966,0.656385,343.0383,2021-06-05,37337.3840736,2021-06-05,0.1686521834562027
5.679749,-0.38598934,0.6115209,330.71652,2021-06-06,34652.411366399996,2021-06-06,0.1565242178575155
5.7691565,-0.4089714,0.6021131,346.9271,2021-06-07,30793.681785599998,2021-06-07,0.13909441699395944
6.6632304,-0.47383,0.5960395,364.21347,2021-06-08,28085.5504224,2021-06-08,0.126861844230169
7.849824,-0.31406245,0.5722607,368.66165,2021-06-09,21193.0986816,2021-06-09,0.09572878377898603
7.88134,-0.16509815,0.54029083,372.1243,2021-06-10,43965.5256,2021-06-10,0.19859136019339899
8.455706,-0.3146598,0.5346461,373.48016,2021-06-11,61273.6510464,2021-06-11,0.2767718010704337
3.0806491,-0.1409873,0.52432257,176.97615,2021-06-16,85036.4275968,2021-06-16,0.3841077660728796
3.290076,-0.33403748,0.53220314,335.28494,2021-06-17,78993.0689184,2021-06-17,0.356810041237309
