t2m,ts,al2,swd,date,dailyQ,runoff
-14.894318,-16.572563,0.8119031,2.2019887,2008-11-25,483685.2,14.101609329446065
-19.096817,-21.130314,0.8113953,1.6665654,2008-11-26,428653.8,12.497195335276967
-16.809464,-18.855858,0.8147141,1.4045565,2008-11-27,278406.0,8.116793002915452
-16.17334,-18.650337,0.8185802,1.3999549,2008-11-28,111511.8,3.251072886297376
-6.783801,-8.7260475,0.82257354,0.8168683,2008-11-29,0.0,0.0
-4.620074,-7.112854,0.8314534,0.817783,2008-11-30,0.0,0.0
-1.3635305,-4.016677,0.7986477,0.32320374,2008-12-01,0.0,0.0
-7.870101,-10.513411,0.8106615,0.48614556,2008-12-02,0.0,0.0
-10.239827,-12.505577,0.8092081,0.29052734,2008-12-03,0.0,0.0
-11.064922,-12.841789,0.8090303,0.1788224,2008-12-04,0.0,0.0
-9.594541,-11.836353,0.8088397,0.18989566,2008-12-05,0.0,0.0
-13.196355,-14.899439,0.8107594,0.10217134,2008-12-06,0.0,0.0
-17.083414,-18.996601,0.8090172,0.059638087,2008-12-07,0.0,0.0
-12.778257,-14.646787,0.82476604,0.0,2008-12-08,0.0,0.0
-5.4299073,-7.287182,0.8108394,0.0,2008-12-09,0.0,0.0
-11.853565,-13.040296,0.8105376,0.0,2008-12-10,0.0,0.0
-21.40148,-22.785463,0.809813,0.0,2008-12-11,0.0,0.0
-20.688808,-22.133263,0.80987275,0.0,2008-12-12,0.0,0.0
-19.638226,-20.934532,0.80976033,0.0,2008-12-13,0.0,0.0
-13.035645,-15.007158,0.8097404,0.0,2008-12-14,0.0,0.0
-19.344433,-20.458042,0.8097385,0.0,2008-12-15,0.0,0.0
-27.423302,-29.001373,0.81087804,0.0,2008-12-16,0.0,0.0
-25.33215,-25.855328,0.80961967,0.0,2008-12-17,0.0,0.0
-25.555906,-26.589935,0.80960834,0.0,2008-12-18,0.0,0.0
-26.941797,-29.398163,0.8096183,0.0,2008-12-19,0.0,0.0
-18.715904,-22.293596,0.80961734,0.0,2008-12-20,0.0,0.0
-20.189,-22.446182,0.8096168,0.0,2008-12-21,0.0,0.0
-18.024424,-20.856943,0.8095916,0.0,2008-12-22,0.0,0.0
-23.190052,-24.914316,0.81308025,0.0,2008-12-23,0.0,0.0
-24.898655,-26.450283,0.8096197,0.0,2008-12-24,0.0,0.0
-19.508062,-21.1364,0.8101914,0.0,2008-12-25,0.0,0.0
-9.826569,-12.592321,0.8103808,0.0,2008-12-26,0.0,0.0
-10.913071,-12.932199,0.8097651,0.0,2008-12-27,0.0,0.0
-20.549168,-22.138424,0.80984294,0.0,2008-12-28,0.0,0.0
-23.464672,-25.73584,0.816257,0.0,2008-12-29,0.0,0.0
-8.39859,-11.292103,0.8096142,0.0,2008-12-30,0.0,0.0
-6.589941,-9.760425,0.8139981,0.0,2008-12-31,0.0,0.0
-7.2389984,-10.854703,0.81941485,0.0,2009-01-01,0.0,0.0
-6.0070953,-9.681965,0.8142258,0.0,2009-01-02,0.0,0.0
-8.430211,-12.157964,0.8195975,0.0,2009-01-03,0.0,0.0
-12.219109,-15.421274,0.81735504,0.0,2009-01-04,0.0,0.0
-8.540125,-11.684051,0.8105053,0.0,2009-01-05,0.0,0.0
-3.044784,-6.373767,0.81178975,0.0,2009-01-06,0.0,0.0
-7.0477467,-10.384287,0.81045306,0.0,2009-01-07,0.0,0.0
-6.627791,-9.331414,0.81063616,0.17774734,2009-01-08,0.0,0.0
-11.631048,-12.943626,0.8107697,0.2876423,2009-01-09,0.0,0.0
-17.092636,-18.006252,0.8106326,0.32050943,2009-01-10,0.0,0.0
-22.640987,-25.176075,0.81609464,0.47552878,2009-01-11,0.0,0.0
-16.761261,-18.596676,0.81052625,0.52137303,2009-01-12,0.0,0.0
-16.371178,-18.6209,0.81046665,0.6347662,2009-01-13,0.0,0.0
-22.777348,-24.825733,0.81232035,0.8782811,2009-01-14,0.0,0.0
-29.192526,-31.17722,0.8178544,1.4520552,2009-01-15,0.0,0.0
-27.99184,-30.72389,0.81045365,1.5129888,2009-01-16,0.0,0.0
-25.07885,-27.194294,0.8104499,1.6522585,2009-01-17,0.0,0.0
-26.001398,-27.42408,0.8103142,2.0153408,2009-01-18,0.0,0.0
-26.826855,-29.288342,0.811479,2.6491413,2009-01-19,0.0,0.0
-22.390762,-25.067429,0.81029665,2.7927947,2009-01-20,0.0,0.0
-6.982599,-14.091963,0.81035596,3.414792,2009-01-21,0.0,0.0
-9.596859,-15.09864,0.81028056,3.5400043,2009-01-22,0.0,0.0
-11.615093,-14.566101,0.8102852,3.474709,2009-01-23,0.0,0.0
-15.860369,-18.344086,0.8119556,5.081418,2009-01-24,0.0,0.0
-10.500823,-13.432839,0.81028455,3.8764505,2009-01-25,0.0,0.0
-9.072548,-11.824698,0.81037676,4.979804,2009-01-26,0.0,0.0
-8.941642,-11.748634,0.81041837,5.083821,2009-01-27,0.0,0.0
-12.889593,-15.98638,0.8182297,8.457717,2009-01-28,0.0,0.0
-14.230455,-17.172089,0.8165899,8.960564,2009-01-29,0.0,0.0
-15.05762,-16.996471,0.81052214,7.524149,2009-01-30,0.0,0.0
-17.355377,-19.170918,0.8127295,7.770952,2009-01-31,0.0,0.0
-19.391426,-21.949839,0.81360877,10.443323,2009-02-01,0.0,0.0
